"d-inline-block href","img-fluid src","shipping-free-label","product-title","product-brand","product-main-price","price-discount","price-dicount-text","text_discount_avista_list_products","product-price-simulator","product-price-simulator 2","product-price-simulator 3","product-price-simulator 4","product-price-simulator 5","d-block","product-price-discount","product-price-discount 2","btn","btn href","shipping-free-label 2"
"https://protechorse.com.br/barrigueira-classic-equine-sensorflex-larga-la-17391","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/barrigueira-classic-equine/classic-equine-sensorflex-cinch-larga.jpg","Frete grátis","Barrigueira Classic Equine SensorFlex - Larga Lã -...","Classic Equine","R$ 770,00","R$ 693,00","à vista","no Pix","em","R$ 770,00","10x","de","R$ 77,00","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/barrigueira-classic-equine-sensorflex-larga-la-17391",""
"https://protechorse.com.br/estribo-de-aluminio-colorido-antiderrapante-verde-agua-17520","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/estribos/estribo-color-0120191018092751.jpg","Frete grátis","Estribo Protec Horse de alumínio colorido Antiderr...","Protec Horse","R$ 320,00","R$ 288,00","à vista","no Pix","em","R$ 320,00","4x","de","R$ 80,00","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/estribo-de-aluminio-colorido-antiderrapante-verde-agua-17520","- SÃO PAULO"
"https://protechorse.com.br/estribo-de-aluminio-colorido-antiderrapante-preto-17521","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/estribos/estribo-color-0420191018092751.jpg","Frete grátis","Estribo Protec Horse de alumínio colorido Antiderr...","Protec Horse","R$ 320,00","R$ 288,00","à vista","no Pix","em","R$ 320,00","4x","de","R$ 80,00","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/estribo-de-aluminio-colorido-antiderrapante-preto-17521","- SÃO PAULO"
"https://protechorse.com.br/estribo-de-aluminio-colorido-antiderrapante-pink-17522","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(transparent):quality(80)/protecho/catalog/estribos/estribo-color-0220191018092751.png","Frete grátis","Estribo Protec Horse de alumínio colorido Antiderr...","Protec Horse","R$ 320,00","R$ 288,00","à vista","no Pix","em","R$ 320,00","4x","de","R$ 80,00","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/estribo-de-aluminio-colorido-antiderrapante-pink-17522","- SÃO PAULO"
"https://protechorse.com.br/estribo-de-aluminio-colorido-antiderrapante-roxo-17523","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/estribos/estribo-roxo.jpg","Frete grátis","Estribo Protec Horse de alumínio colorido Antiderr...","Protec Horse","R$ 320,00","R$ 288,00","à vista","no Pix","em","R$ 320,00","4x","de","R$ 80,00","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/estribo-de-aluminio-colorido-antiderrapante-roxo-17523","- SÃO PAULO"
"https://protechorse.com.br/barrigueira-equitech-larga-17528","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(transparent):quality(80)/protecho/catalog/barrigueiraequitech/barrigueria-equitec-larga.png","Frete grátis","Barrigueira Equitech Larga - 17528","Equitech","R$ 280,00","R$ 252,00","à vista","no Pix","em","R$ 280,00","4x","de","R$ 70,00","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/barrigueira-equitech-larga-17528","- SÃO PAULO"
"https://protechorse.com.br/rasga-preco-barrigueira-neoprene-combat-color-30-quot-boots-horse-17561","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/barrigueira-combat/todas.jpg","Frete grátis","Barrigueira Neoprene Combat Colors 30"" Polegadas -...","Boots Horse","R$ 260,00","R$ 234,00","à vista","no Pix","em","R$ 260,00","3x","de","R$ 86,67","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/rasga-preco-barrigueira-neoprene-combat-color-30-quot-boots-horse-17561","- SÃO PAULO"
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-marrom-17748","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(transparent):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flexivel-marrom-cortada-de-feltro.png","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-marrom-17748",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-preto-17749","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-feltro-preta.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-preto-17749",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-rosa-17750","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-feltro-rosa.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-rosa-17750",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-roxo-17751","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-feltro-roxa.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-roxo-17751",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-azul-royal-17752","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-feltro-royal.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-azul-royal-17752",""
"https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-verde-17753","https://img.irroba.com.br/fit-in/250x250/filters:format(webp):fill(fff):quality(80)/protecho/catalog/mantabootsimpactpad/manta-impact-pad-flex-feltro-verde.jpg","Frete grátis","Manta Boots Horse Tambor Impact Pad Flexível - Qua...","Boots Horse","R$ 650,00","R$ 585,00","à vista","no Pix","em","R$ 650,00","9x","de","R$ 72,22","(*) Em compras à partir de R$ 99,99","à vista no Pix *","ou","COMPRAR","https://protechorse.com.br/manta-boots-horse-tambor-impact-pad-flexivel-quadrada-feltro-verde-17753",""
